Category;Key;UE40D5720;HTD5500
Source;KEY_HDMI;switch to HDMI (last used?);
Source;KEY_ANTENA;Input: terestrial antenna;
Source;KEY_AV1;switch to input ext.;
Source;KEY_AV2;;
Source;KEY_AV3;;
Source;KEY_TV;;
Source;KEY_TV_MODE;;
Source;KEY_SVIDEO3;;
Source;KEY_SVIDEO2;;
Source;KEY_SVIDEO1;;
Source;KEY_COMPONENT2;;
Source;KEY_HDMI4;;
Source;KEY_HDMI3;;
Source;KEY_HDMI2;;
Source;KEY_HDMI1;;
Source;KEY_SOURCE;Menu Input Source;
EXT;KEY_EXT9;;
EXT;KEY_EXT8;;
EXT;KEY_EXT3;;
EXT;KEY_EXT2;;
EXT;KEY_EXT1;;
EXT;KEY_EXT7;;
EXT;KEY_EXT6;;
EXT;KEY_EXT5;;
EXT;KEY_EXT4;;
EXT;KEY_EXT39;;
EXT;KEY_EXT38;;
EXT;KEY_EXT19;;
EXT;KEY_EXT18;;
EXT;KEY_EXT17;;
EXT;KEY_EXT16;;
EXT;KEY_EXT15;;
EXT;KEY_EXT14;;
EXT;KEY_EXT13;;
EXT;KEY_EXT12;;
EXT;KEY_EXT11;;
EXT;KEY_EXT10;picture mode standard OR switch picture mode;
EXT;KEY_EXT21;;
EXT;KEY_EXT31;;
EXT;KEY_EXT30;;
EXT;KEY_EXT33;;
EXT;KEY_EXT32;;
EXT;KEY_EXT35;;
EXT;KEY_EXT40;;
EXT;KEY_EXT41;;
EXT;KEY_EXT34;;
EXT;KEY_EXT28;-;
EXT;KEY_EXT29;;
EXT;KEY_EXT37;;
EXT;KEY_EXT22;;
EXT;KEY_EXT23;;
EXT;KEY_EXT20;;
EXT;KEY_EXT36;;
EXT;KEY_EXT26;;
EXT;KEY_EXT27;;
EXT;KEY_EXT24;;
EXT;KEY_EXT25;;
Playback;KEY_STOP;;
Playback;KEY_FF_;;
Playback;KEY_REWIND_;;
Playback;KEY_PLAY;;
Playback;KEY_FF;;
Playback;KEY_REWIND;;
PIP;KEY_PIP_SWAP;;
PIP;KEY_PIP_SCAN;;
PIP;KEY_PIP_ONOFF;;
PIP;KEY_PIP_CHDOWN;;
PIP;KEY_PIP_CHUP;message n/a;
PIP;KEY_PIP_SIZE;;
Channel;KEY_CHUP;;
Channel;KEY_FAVCH;;
Channel;KEY_PRECH;;
Channel;KEY_CH_LIST;;
Channel;KEY_CHDOWN;;
